"song","artist","rank","weeks_on_board"
"A Few Questions","Clay Walker",432,13
"A Fifth Of Beethoven","Walter Murphy & The Big Apple Band",2069,28
"A Fine Fine Boy","Darlene Love",217,6
"A Fine Fine Day","Tony Carey",821,15
"A Fool In Love","Ike & Tina Turner",697,13
"A Fool Never Learns","Andy Williams",730,10
"A Fool Such As I","Bob Dylan",235,7
"A Friend In The City","Andy Kim",22,2
"A Friend Of Mine Is Going Blind","John Dawson Read",68,4
"A Girl's Work Is Never Done","The Chordettes",22,3
"A Girl Has To Know","The G-Clefs",68,5
"A Girl In Trouble (Is A Temporary Thing)","Romeo Void",569,13
"A Girl Like You","Easton Corbin",3,1
"A Girl Like You","Gary Stites",72,5
"A Girl Like You","The Smithereens",698,20
"A Girl Like You","The Young Rascals",705,9
"A Girl Like You (From ""Empire Records"")","Edwyn Collins",440,9
"A Good Day To Run","Darryl Worley",171,9
"A Good Heart","Feargal Sharkey",115,6
"A Great Big Sled","The Killers Featuring Toni Halliday",60,2
"A Groovy Kind Of Love","The Mindbenders",1026,13
"A Guy Walks Into A Bar","Tyler Farr",508,20
"A Guy With A Girl","Blake Shelton",490,17
"A Happy Guy","Rick Nelson",44,4
"A Hard Day's Night","Ramsey Lewis Trio",367,6
"A Hard Day's Night","The Beatles",1157,13
"A Hazy Shade Of Winter","Simon & Garfunkel",625,9
"A Heart In New York","Art Garfunkel",218,9
"A Holly Jolly Christmas","Burl Ives",1497,20
"A Horse With No Name","America",1204,14
"A House Is Not A Home","Brook Benton",105,7
"A House Is Not A Home","Dionne Warwick",116,6
"A House Is Not A Home","Glee Cast",31,1
"A House Of Love","Scott Garrett",9,1
"A House, A Car And A Wedding Ring","Dale Hawkins",38,5
"A House, A Car And A Wedding Ring","Mike Preston",8,1
"A Hundred Pounds Of Clay","Gene McDaniels",1172,15
"A Hurricane Is Coming Tonite","Carol Douglas",33,2
"A Kind Of Magic","Queen",422,11
"A Kookie Little Paradise","Jo Ann Campbell",206,9
"A La Primera Persona","Alejandro Sanz",1,1
"A Lesson In Leavin'","Dottie West",93,5
"A Letter From Betty","Bobby Vee",23,2
"A Letter To An Angel","Jimmy Clanton",672,12
"A Letter To Dad","Every Father's Teenage Son",23,4
"A Letter To Myself","The Chi-lites",584,11
"A Letter To The Beatles","The Four Preps",45,3
"A Lie","French Montana Featuring The Weeknd & Max B",26,1
"A Life Of Illusion","Joe Walsh",572,12
"A Lifetime Of Loneliness","Jackie DeShannon",175,6
"A Light That Never Comes","Linkin Park X Steve Aoki",36,1
"A Little Bit Like Magic","King Harvest",29,4
"A Little Bit Longer","Jonas Brothers",90,1
"A Little Bit Me, A Little Bit You","The Monkees",878,10
"A Little Bit More","Dr. Hook",1449,24
"A Little Bit Now","The Dave Clark Five",105,4
"A Little Bit Now (A Little Bit Later)","The Majors",183,6
"A Little Bit Of Ecstasy","Jocelyn Enriquez",632,20
"A Little Bit of Heaven","Natalie Cole",57,6
"A Little Bit Of Heaven","Ronnie Dove",647,10
"A Little Bit Of Love (Is All It Takes)","New Edition",536,15
"A Little Bit Of Soap","Garnet Mimms",6,1
"A Little Bit Of Soap","Paul Davis",397,12
"A Little Bit Of Soap","The Exciters",199,6
"A Little Bit Of Soap","The Jarmels",588,10
"A Little Bit Stronger","Sara Evans",866,21
"A Little Bitty Tear","Burl Ives",1038,14
"A Little Bitty Tear","Wanda Jackson",41,3
"A Little Dog Cried","Jimmie Rodgers",98,4
"A Little Feeling (Called Love)","Jack Scott",11,2
"A Little Gasoline","Terri Clark",67,6
"A Little Good News","Anne Murray",150,9
"A Little In Love","Cliff Richard",1257,22
"A Little Is Enough","Pete Townshend",84,4
"A Little Less Conversation","Elvis Presley vs JXL",360,9
"A Little Less Conversation","Elvis Presley With The Jordanaires",106,4
"A Little Less Sixteen Candles, A Little More Touch Me","Fall Out Boy",327,13
"A Little Love","Corey Hart",408,11
"A Little Love","Juice Newton",384,10
"A Little Lovin' (Keeps The Doctor Away)","The Raes",208,9
"A Little More Country Than That","Easton Corbin",555,20
"A Little More Love","Olivia Newton-John",1644,20
"A Little More Summertime","Jason Aldean",450,13
"A Little Party Never Killed Nobody (All We Got)","Fergie, Q-Tip & GoonRock",32,2
"A Little Past Little Rock","Lee Ann Womack",182,10
"A Little Rain Must Fall","The Epic Splendor",51,7
"A Little Respect","Erasure",995,17
"A Little Too Late","Toby Keith",515,15
"A Little Too Much","Clarence Henry",89,5
"A Little Too Much","Shawn Mendes",7,1
"A Little Toy Balloon","Danny Williams",59,4
"A Little You","Freddie And The Dreamers",275,7
"A Lonely Man/The Man & The Woman (The Boy & The Girl)","The Chi-lites",159,5
"A Lonely Night","The Weeknd",32,1
"A Long Time, A Long Way To Go","Runt-Todd Rundgren",18,2
"A Long Walk","Jill Scott",739,19
"A Lot","21 Savage",1704,23
"A Lot Of Things Different","Kenny Chesney",436,15
"A Love Bizarre","Sheila E.",1299,23
"A Love Of My Own","Carla Thomas",211,6
"A Love She Can Count On","The Miracles",461,9
"A Love So Fine","The Chiffons",354,9
"A Love Song","Kenny Rogers",342,10
"A Love That's Real","The Intruders",45,3
"A Lover's Concerto","Mrs. Miller",11,2
"A Lover's Concerto","Sarah Vaughan",158,6
"A Lover's Concerto","The Toys",1062,15
"A Lover's Holiday","Change",562,13
"A Lover's Prayer","Dion & The Belmonts",74,3
"A Lover's Question","Clyde McPhatter",1779,24
"A Lover's Question","Ernestine Anderson",3,1
"A Lover's Question","Loggins & Messina",22,2
"A Lover's Question","Otis Redding",277,6
"A Lucky Guy","Rickie Lee Jones",159,7
"A Mama And A Papa","Ray Stevens",48,3
"A Man Ain't Made Of Stone","Randy Travis",68,4
"A Man And A Half","Wilson Pickett",225,6
"A Man And A Woman","Tamiko Jones with Herbie Mann",26,2
"A Man Holdin' On (To A Woman Lettin' Go)","Ty Herndon",154,10
"A Man I'll Never Be","Boston",578,12
"A Man Needs A Woman","James Carr",256,10
"A Man Who Was Gonna Die Young","Eric Church",12,1
"A Man Without Love (Quando M'innamoro)","Engelbert Humperdinck",534,9
"A Matter Of Trust","Billy Joel",1110,18
"A Mess Of Blues","Elvis Presley With The Jordanaires",524,11
"A Milli","Lil Wayne",1767,23
"A Million And One","Dean Martin",314,7
"A Million And One","Vic Dana",75,3
"A Million Dreams","P!nk",11,1
"A Million Miles Away","The Plimsouls",35,3
"A Million To One","Brian Hyland",38,5
"A Million To One","Five Stairsteps & Cubie",152,6
"A Million To One","Jimmy Charles and The Revelletts",1076,15
"A Million To One/Young Love","Donny Osmond",658,11
"A Minute Of Your Time","Tom Jones",423,10
"A Miracle","Frankie Avalon",93,6
"A Moment Like This","Kelly Clarkson",1242,20
"A Mother For My Children","The Whispers",21,4
"A Mover La Colita","Artie The 1 Man Party",426,19
"A Must To Avoid","Herman's Hermits",723,9
"A Natural Man","Lou Rawls",1068,18
"A New Day Has Come","Celine Dion",1091,20
"A Night To Remember","Joe Diffie",825,20
"A Night To Remember","Shalamar",391,10
"A Nightmare On My Street","D.J. Jazzy Jeff & The Fresh Prince",896,16
"A Part Of Me","Jimmy Clanton",291,7
"A Part Of You","Brenda & The Tabulations",19,5
"A Passion Play (Edit #8)","Jethro Tull",62,5
"A Penny For Your Thoughts","Tavares",1076,21
"A Perfect Love","Frankie Avalon",239,6
"A Piece Of Paper","Gladstone",438,11
"A Place In The Sun","Pablo Cruise",344,9
"A Place In The Sun","Stevie Wonder",776,11
"A Prayer And A Juke Box","Little Anthony And The Imperials",41,4
"A Promise I Make","Dakota Moon",312,13
"A Public Affair","Jessica Simpson",755,12
"A Question Of Temperature","The Balloon Farm",444,8
"A Quiet Place","Garnet Mimms & The Enchanters",100,7
"A Ray Of Hope","The Rascals",507,8
"A Real Fine Place To Start","Sara Evans",844,20
"A Real Mother For Ya","Johnny Guitar Watson",386,12
"A Rock 'N' Roll Fantasy","The Kinks",516,11
"A Rockin' Good Way (To Mess Around And Fall In Love)","Dinah Washington & Brook Benton",965,13
"A Rose By Any Other Name","Teena Marie Featuring Gerald Levert",8,2
"A Rose Is Still A Rose","Aretha Franklin",953,18
"A Satisfied Mind","Bobby Hebb",276,6
"A Scottish Soldier (Green Hills of Tyrol)","Andy Stewart",104,6
"A Shot In The Dark","Henry Mancini And His Orchestra",8,2
"A Shoulder To Cry On","Tommy Page",858,20
"A Sign Of The Times","Petula Clark",581,8
"A Simple Game","Four Tops",23,3
"A Simple Man","Lobo",329,9
"A Sky Full Of Stars","Coldplay",1627,26
"A Smile Like Yours (From ""A Smile Like Yours"")","Natalie Cole",61,5
"A Song For Mama","Boyz II Men",1607,20
"A Song For You","Andy Williams",62,4
"A Song I'd Like To Sing","Kris Kristofferson & Rita Coolidge",278,10
"A Song Of Joy (Himno A La Alegria)","Miguel Rios",684,9
"A Song That Never Comes","Mama Cass Elliot",4,2
"A Star Is Born (A Love Has Died)","Mark Dinning",133,6
"A Steel Guitar And A Glass Of Wine","Paul Anka",646,10
"A Stranger In Your Town","The Shacklefords",114,6
"A String Of Trumpets","The Trumpeteers",243,9
"A Summer Song","Chad & Jeremy",908,14
"A Sunday Kind Of Love","Jan & Dean",6,1
"A Sunday Kind Of Love","Lenny Welch",18,5
"A Sweet Woman Like You","Joe Tex",498,9
"A Swingin' Safari","Billy Vaughn And His Orchestra",795,12
"A Symphony For Susan","The Arbors",317,10
"A Taste Of Honey","Martin Denny and His Orchestra",556,15
"A Taste Of Honey","The Victor Feldman Quartet",13,1
"A Taste Of Honey","Tony Bennett",15,3
"A Tear","Gene McDaniels",384,8
"A Tear Fell","Ray Charles",209,5
"A Teenager Feels It Too","Denny Reed",12,3
"A Teenager In Love","Dion & The Belmonts",1185,15
"A Texan And A Girl From Mexico","Anita Bryant",34,4
"A Thin Line Between Love & Hate (From ""A Thin Line..."")","H-Town",813,20
"A Thing Of The Past","The Shirelles",308,8
"A Thousand Bad Times","Post Malone",126,3
"A Thousand Miles","Vanessa Carlton",3282,41
"A Thousand Miles Away","The Heartbeats",5,1
"A Thousand Shadows","The Seeds",78,4
"A Thousand Stars","Kathy Young With The Innocents",1395,17
"A Thousand Years","Christina Perri",1358,26
"A Thousand Years","Sawyer Fredericks",7,1
"A Thousand Years (Part 2)","Christina Perri Featuring Steve Kazee",85,3
"A Time To Love-A Time To Cry (Petite Fleur)","Lou Johnson",289,9
"A Touch Of Pink","Jerry Wallace",17,2
"A Tribute To A King","William Bell",67,6
"A Trick Of The Night","Bananarama",95,7
"A Very Special Love Song","Charlie Rich",960,14
"A View To A Kill","Duran Duran",1285,17
"A Voice In The Choir","Al Martino",79,6
"A Walk In The Black Forest","Horst Jankowski",855,13
"A Walkin' Miracle","The Essex Featuring Anita Humes",634,10
"A Well Respected Man","The Kinks",867,14
"A Whiter Shade Of Pale","Procol Harum",977,12
"A Whiter Shade Of Pale","The Hesitations",2,2
"A Whole New World (Aladdin's Theme)","Peabo Bryson & Regina Belle",1892,23
"A Woman's Hands","Joe Tex",149,5
"A Woman's Love","Alan Jackson",254,12
"A Woman's Love","Carla Thomas",84,4
"A Woman's Worth","Alicia Keys",1433,20
"A Woman Can Change A Man","Joe Tex",225,7
"A Woman In Love (It's Not Me)","Tom Petty And The Heartbreakers",81,6
"A Woman Like You","Lee Brice",944,20
"A Woman Needs Love (Just Like You Do)","Ray Parker Jr. & Raydio",1708,27
"A Woman, A Lover, A Friend","Jackie Wilson",695,12
"A Womans' Way","Rozetta Johnson",7,1
"A Wonder Like You","Rick Nelson",771,11
"A Wonderful Dream","The Majors",618,11
"A Word In Spanish","Elton John",700,13
"A Working Man's Prayer","Arthur Prysock",153,6
"A World Of Our Own","The Seekers",589,10
"A World Without Heroes","KISS",225,9
"A World Without Love","Bobby Rydell",78,6
"A World Without Love","Peter And Gordon",1014,12
"A World Without Music","Archie Bell & The Drells",20,2
"A Worried Man","The Kingston Trio",693,11
"A Year Ago Tonight","The Crests",434,10
"A Year Without Rain","Selena Gomez & The Scene",230,8
"A Young Girl","Noel Harrison",308,8
"A$AP Forever","A$AP Rocky Featuring Moby",74,2
"A.D.I.D.A.S.","Killer Mike Featuring Big Boi",238,9
"A.M.","One Direction",7,1
"Aaron's Party (Come Get It)","Aaron Carter",521,15
"Abacab","Genesis",712,14
"Abadabadango","Kim Carnes",102,4
"ABC","Glee Cast",13,1
"ABC","Jackson 5",1184,13
"ABC-123","Levert",514,17
"Abergavenny","Shannon",268,8
"Abigail Beecher","Freddy Cannon",546,8
"Abilene","George Hamilton IV",777,14
"About The Money","T.I. Featuring Young Thug",789,20
"About This Thing Called Love","Fabian",408,7
"About Us","Brooke Hogan Featuring Paul Wall",726,17
"About You","Trey Songz",32,3
"About You Now","Miranda Cosgrove",132,4
"Above The Stars","Mr. Acker Bilk",162,6
"Abra-Ca-Dabra","The De Franco Family",586,12
"Abracadabra","The Steve Miller Band",1962,25
"Abraham, Martin And John","Dion",1159,14
"Abraham, Martin And John","Moms Mabley",301,6
"Abraham, Martin And John","Smokey Robinson & The Miracles",326,6
"Absence Of The Heart","Deana Carter",32,2
"Absolute","The Fray",31,1
"Absolute Beginners","David Bowie",278,9
"Absolutely (Story Of A Girl)","Nine Days",2012,27
"Absolutely Right","Five Man Electrical Band",498,8
"Abyssinia Jones","Edwin Starr",4,2
"Acapella","Karmin",151,8
"Accidental Racist","Brad Paisley Featuring LL Cool J",24,1
"Accidentally In Love","Counting Crows",918,20
"According To You","Orianthi",1497,21
"Ace Of Spade","O.V. Wright",299,8
"Achy Breaky 2","Buck 22 Featuring Billy Ray Cyrus",21,1
"Achy Breaky Heart","Billy Ray Cyrus",2006,25
"Acquainted","The Weeknd",372,18
"Across 110th Street","Bobby Womack & Peace",185,6
"Across The Miles","Survivor",105,6
"Across The River","Bruce Hornsby & The Range",839,16
"Across The Street","Lenny O'Henry",3,1
"Across The Universe","Various Artists",79,1
"Act A Fool","Ludacris",495,11
"Act Naturally","The Beatles",300,7
"Act Right","Yo Gotti Featuring Jeezy & YG",1,1
"Act Up","City Girls",1320,21
"Action","Evelyn ""Champagne"" King",114,7
"Action","Freddy Cannon",604,9
"Action","Sweet",765,14
"Action","Terror Fabulous Featuring Nadine Sutherland",864,20
"Action Speaks Louder Than Words","Chocolate Milk",96,5
"Adam And Eve","Paul Anka",18,2
"Add Some Music To Your Day","The Beach Boys",127,5
"Addams Family (Whoomp!)","Tag Team",39,3
"Addams Groove","M.C. Hammer",1129,20
"Adderall (Corvette Corvette)","Popp Hunna",85,6
"Addicted","Saving Abel",1753,34
"Addicted","Simple Plan",766,19
"Addicted To Love","Robert Palmer",1508,22
"Addictive","Truth Hurts Featuring Rakim",1549,20
"Adeste Fideles (Oh, Come, All Ye Faithful)","Bing Crosby",121,3
"Adia","Sarah McLachlan",2327,27
"Adicto","Tainy, Anuel AA & Ozuna",18,2
"Adios Amigo","Jim Reeves",43,6
"Adore","Cashmere Cat Featuring Ariana Grande",8,1
"Adore You","Harry Styles",4058,50
"Adore You","Miley Cyrus",1001,18
"Adorn","Miguel",2143,33
"Adrenalina","Wisin Featuring Jennifer Lopez & Ricky Martin",7,1
"Adrienne","Tommy James",20,3
"Adult Education","Daryl Hall John Oates",1138,17
"Adventure Of A Lifetime","Coldplay",1055,20
"Advice For The Young At Heart","Tears For Fears",27,4
"Aerials","System Of A Down",655,20
"Affair Of The Heart","Rick Springfield",1194,18
"Afire Love","Ed Sheeran",64,1
"Afraid To Sleep","Vicci Martinez",23,1
"Africa","Toto",1531,21
"Africa","Weezer",489,15
"African Waltz","Cannonball Adderley Orchestra",257,6
"Africanism/Gimme Some Lovin'","Kongas",80,7
"Afrikaan Beat","Bert Kaempfert And His Orchestra",437,10
"Afro-Strut","The Nite-Liters",325,8
"Afro Puffs","The Lady Of Rage",327,11
"After 12, Before 6","Sam Salter",593,16
"After A Few","Travis Denning",731,15
"After All","Al Jarreau",151,9
"After All (Love Theme From ""Chances Are"")","Cher & Peter Cetera",1239,20
"After All This Time","Merry Clayton",158,7
"After Dark","Drake Featuring Static Major & Ty Dolla $ign",124,3
"After Hours","The Weeknd",271,7
"After I Cry Tonight","Lanier & Co.",429,13
"After Loving You","Della Reese",8,2
"After Midnight","Blink-182",13,1
"After Midnight","Eric Clapton",736,12
"After Midnight","J.J. Cale",451,11
"After Midnight","Maggie Bell",8,3
"After Party","Don Toliver",482,20
"After Party","Koffee Brown",660,20
"After The Dance","Marvin Gaye",93,5
"After The Fall","Journey",717,12
"After The Feeling Is Gone","Five Flights Up",17,3
"After The Fire","Roger Daltrey",418,13
"After The Fire Is Gone","Conway Twitty & Loretta Lynn",195,6
"After The Glitter Fades","Stevie Nicks",542,11
"After The Goldrush","Prelude",647,13
"After The Love Has Gone","Earth, Wind & Fire",1307,17
"After The Lovin'","Engelbert Humperdinck",1384,19
"After The Rain","Nelson",1455,22
"After The Summer's Gone","PC Quest",447,11
"After You","Dionne Warwick",154,6
"Afterglow","Ed Sheeran",513,10
"Afterglow","Taylor Swift",26,1
"Afternoon Delight","Starland Vocal Band",1409,20
"Afternoons & Coffeespoons","Crash Test Dummies",224,10
"Again","Faith Evans",394,14
"Again","Fetty Wap",1527,26
"Again","Janet Jackson",2035,23
"Again","Lenny Kravitz",2632,32
"Again And Again","Jewel",33,2
"Again Tonight","John Mellencamp",552,13
"Against All Odds (Take A Look At Me Now)","Phil Collins",1728,24
"Against The Wind","Bob Seger",1189,17
"Age Ain't Nothing But A Number","Aaliyah",154,8
"Agent Double-O-Soul","Edwin Starr",651,11
"Ah! Leah!","Donnie Iris",781,18
"Ahab, The Arab","Ray Stevens",885,11
"Ai No Corrida (I-No-Ko-ree-da)","Quincy Jones",568,12
"Ai Se Eu Te Pego","Michel Telo",79,12
"Aim For The Moon","Pop Smoke Featuring Quavo",79,2
"Aiming At Your Heart","The Temptations",119,5
"Ain't 2 Proud 2 Beg","TLC",1619,22
"Ain't Always The Cowboy","Jon Pardi",516,18
"Ain't Back Yet","Kenny Chesney",467,13
"Ain't Doing Too Bad (Part 1)","Bobby Bland",248,6
"Ain't Easy","YoungBoy Never Broke Again",18,1
"Ain't Even Done With The Night","John Cougar",1235,21
"Ain't Gonna' Hurt Nobody","Brick",30,4
"Ain't Gonna Be That Way","Marv Johnson",79,7
"Ain't Gonna Bump No More (with No Big Fat Woman)","Joe Tex",1038,18
"Ain't Gonna Cry No More","Brenda Lee",74,4
"Ain't Gonna Eat Out My Heart Anymore","Angel",294,8
"Ain't Gonna Hurt Nobody","Kid 'N Play",609,19
"Ain't Gonna Kiss Ya","The Ribbons",55,4
"Ain't Gonna Lie","Keith",380,10
"Ain't Gonna Rest (Till I Get You)","The Five Stairsteps",26,2
"Ain't Gonna Tell Anybody","Jimmy Gilmer And The Fireballs",251,7
"Ain't Got No Home","The Band",132,7
"Ain't Got No; I Got Life","Nina Simone",20,4
"Ain't Got Time","The Impressions",232,6
"Ain't I","Yung L.A. Featuring Young Dro & T.I.",650,19
"Ain't It A Sad Thing","R. Dean Taylor",123,5
"Ain't It A Shame","Major Lance",28,3
"Ain't It Fun","Paramore",1705,24
"Ain't It Funky Now (Part 1)","James Brown",693,11
"Ain't It Funny","Jennifer Lopez Featuring Ja Rule",2248,27
"Ain't It The Truth","Mary Wells",336,8
"Ain't It True","Andy Williams",321,7
"Ain't It, Baby","The Miracles",221,6
"Ain't Leavin Without You","Jaheim",17,4
"Ain't Love A Bitch","Rod Stewart",671,12
"Ain't My Fault","Zara Larsson",123,7
"Ain't No Future In Yo' Fronting","M.C. Breed & D.F.C.",492,20
"Ain't No Love In The Heart Of The City","Bobby Bland",35,7
"Ain't No Mountain High Enough","Diana Ross",1241,14
"Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell",789,12
"Ain't No Nigga/Dead Presidents","Jay-Z Featuring Foxxy Brown",767,20
"Ain't No Other Man","Christina Aguilera",1652,20
"Ain't No Playa","Rappin' 4-Tay",153,11
"Ain't No Rest For The Wicked","Cage The Elephant",84,11
"Ain't No Stoppin' Us Now","McFadden & Whitehead",1141,18
"Ain't No Stopping Us Now","Kane Brown",13,1
"Ain't No Sunshine","Bill Withers",1208,16
"Ain't No Sunshine","Kris Allen",71,2
"Ain't No Telling","Bobby Bland",8,1
"Ain't No Way","Aretha Franklin",577,8
"Ain't No Way To Treat A Lady","Helen Reddy",1013,16
"Ain't No Woman (Like The One I've Got)","Four Tops",1120,15
